Naam	Team	Nationaliteit	Lengte	Gewicht	Leeftijd	AVG	FLT	COB	HLL	MTN	SPR	ITT	GC	OR	TTL
Jesus Herrada	Burgos Burpellet BH	Spain	183 cm	70 kg	35 jaar	66	45	20	71	55	36	37	51	74	28
José Félix Parra	Caja Rural-Seguros RGA	Spain	171 cm	55 kg	29 jaar	66	36	20	55	71	31	20	57	61	20
David de la Cruz	Pinarello-Q36.5 Pro Cycling Team	Spain	182 cm	66 kg	36 jaar	66	45	20	62	65	35	56	65	61	49
Jan Hirt	NSN Cycling Team	Czech Republic	181 cm	62 kg	35 jaar	66	30	20	43	73	36	28	63	26	29
Eric Fagúndez	Burgos Burpellet BH	Uruguay	180 cm	67 kg	27 jaar	66	54	46	71	51	48	27	49	75	20
Nicolò Parisini	Pinarello-Q36.5 Pro Cycling Team	Italy	183 cm	65 kg	25 jaar	66	56	57	48	25	72	20	33	69	20
Odd Christian Eiking	Unibet Rose Rockets	Norway	181 cm	75 kg	31 jaar	66	41	20	69	63	38	28	50	70	27
Johan Jacobs	Groupama-FDJ United	Switzerland	192 cm	78 kg	28 jaar	66	56	72	50	26	54	27	34	73	27
Brieuc Rolland	Groupama-FDJ United	France	179 cm	59 kg	22 jaar	66	44	20	75	53	35	27	46	63	24
Filippo Fiorelli	Team Visma | Lease a Bike	Italy		0 kg	31 jaar	66	55	20	67	44	70	21	44	67	21
Elmar Reinders	Unibet Rose Rockets	Netherlands	190 cm	78 kg	33 jaar	65	59	52	39	24	72	37	38	67	27
Clément Braz Afonso	Groupama-FDJ United	France	163 cm	50 kg	26 jaar	65	44	20	72	49	42	20	47	69	20
Jordan Labrosse	Decathlon CMA CGM Team	France	178 cm	65 kg	23 jaar	65	56	62	68	33	52	37	36	69	20
Filippo Magli	Bardiani CSF 7 Saber	Italy		0 kg	26 jaar	65	53	31	69	29	62	20	38	79	20
Alex Molenaar	Caja Rural-Seguros RGA	Netherlands	184 cm	63 kg	26 jaar	65	50	36	69	47	54	36	43	75	31
Damien Howson	Pinarello-Q36.5 Pro Cycling Team	Australia	188 cm	68 kg	33 jaar	65	35	20	62	65	33	27	61	41	20
Sander De Pestel	Decathlon CMA CGM Team	Belgium	184 cm	74 kg	27 jaar	65	58	68	53	36	53	52	41	68	42
William Barta	Tudor Pro Cycling Team	United States	180 cm	61 kg	30 jaar	65	47	20	65	59	32	61	61	47	58
Michael Leonard	EF Education-EasyPost	Canada	170 cm	60 kg	21 jaar	65	56	20	49	33	35	76	39	59	78
Lawrence Warbasse	Tudor Pro Cycling Team	United States	183 cm	67 kg	35 jaar	65	45	31	73	43	44	37	45	71	37
