Naam	Team	Nationaliteit	Lengte	Gewicht	Leeftijd	AVG	FLT	COB	HLL	MTN	SPR	ITT	GC	OR	TTL
António Morgado	UAE Team Emirates-XRG	Portugal	180 cm	71 kg	22 jaar	86	80	87	87	47	74	49	42	92	46
Emilien Jeannière	Team TotalEnergies	France	176 cm	0 kg	27 jaar	86	83	59	83	33	91	45	47	93	50
Bruno Armirail	Team Visma | Lease a Bike	France	190 cm	72 kg	31 jaar	86	78	20	55	81	42	91	69	64	91
Nils Politt	UAE Team Emirates-XRG	Germany	192 cm	80 kg	31 jaar	85	85	91	73	48	64	66	46	90	64
Dorian Godon	INEOS Grenadiers	France	189 cm	74 kg	29 jaar	85	68	20	90	45	77	53	52	90	45
Kaden Groves	Alpecin-Premier Tech	Australia	176 cm	76 kg	27 jaar	85	81	51	87	36	92	28	40	82	27
Marc Hirschi	Tudor Pro Cycling Team	Switzerland	174 cm	61 kg	27 jaar	85	85	48	94	52	62	41	59	95	29
Alex Aranburu	Cofidis	Spain	178 cm	63 kg	30 jaar	85	73	31	91	57	77	37	59	92	29
Diego Ulissi	XDS Astana Team	Italy	175 cm	63 kg	36 jaar	85	66	20	90	76	52	43	71	90	34
Mathias Vacek	Lidl-Trek	Czech Republic	188 cm	75 kg	23 jaar	85	80	66	79	50	68	89	54	87	80
Christophe Laporte	Team Visma | Lease a Bike	France	191 cm	76 kg	33 jaar	85	88	86	80	33	81	47	51	90	28
Matthew Brennan	Team Visma | Lease a Bike	Great Britain	177 cm	68 kg	20 jaar	85	80	52	79	46	89	56	52	90	44
Matthew Riccitello	Decathlon CMA CGM Team	United States	172 cm	55 kg	23 jaar	85	33	20	59	90	38	37	88	39	25
Julian Alaphilippe	Tudor Pro Cycling Team	France	173 cm	62 kg	33 jaar	85	70	45	92	70	50	40	67	91	34
Laurenz Rex	Soudal Quick-Step	Belgium	193 cm	83 kg	26 jaar	85	83	90	64	25	81	30	38	90	30
Christian Scaroni	XDS Astana Team	Italy	175 cm	63 kg	28 jaar	85	71	20	91	83	50	33	56	93	28
Cristián Rodríguez	XDS Astana Team	Spain	178 cm	59 kg	30 jaar	85	48	20	77	89	38	48	80	69	37
Rasmus Tiller	Uno-X Mobility	Norway	187 cm	84 kg	29 jaar	85	85	90	80	31	64	31	38	90	26
Marijn van den Berg	EF Education-EasyPost	Netherlands	182 cm	73 kg	26 jaar	85	78	83	72	28	88	31	49	86	30
Madis Mihkels	EF Education-EasyPost	Estonia	184 cm	75 kg	22 jaar	85	82	84	63	30	89	26	34	89	20
Alberto Bettiol	XDS Astana Team	Italy	180 cm	69 kg	32 jaar	85	72	66	90	51	55	76	61	90	63
Corbin Strong	NSN Cycling Team	New Zealand	173 cm	63 kg	25 jaar	85	74	51	90	40	84	23	58	91	23
Gianni Vermeersch	Red Bull-BORA-hansgrohe	Belgium	173 cm	68 kg	33 jaar	85	86	91	86	43	53	28	39	91	28
Lennert Van Eetvelt	Lotto-Intermarché	Belgium	176 cm	63 kg	24 jaar	84	57	59	87	79	56	41	78	82	31
Ben Tulett	Team Visma | Lease a Bike	Great Britain	169 cm	56 kg	24 jaar	84	54	44	90	75	39	36	64	89	29
Alec Segaert	Bahrain Victorious	Belgium	188 cm	79 kg	23 jaar	84	80	82	67	31	47	85	56	84	70
Tobias Lund Andresen	Decathlon CMA CGM Team	Denmark	181 cm	69 kg	23 jaar	84	84	32	81	43	92	20	51	91	20
Cian Uijtdebroeks	Movistar Team	Belgium	185 cm	68 kg	22 jaar	84	49	20	87	80	38	41	77	81	42
Pavel Bittner	Team Picnic PostNL	Czech Republic	184 cm	73 kg	23 jaar	84	80	68	67	31	92	29	50	87	29
Davide Ballerini	XDS Astana Team	Italy	183 cm	71 kg	31 jaar	84	77	86	80	27	83	25	42	84	25
Iván García Cortina	Movistar Team	Spain	183 cm	77 kg	30 jaar	84	75	88	68	31	82	20	40	85	20
Aurélien Paret-Peintre	Decathlon CMA CGM Team	France	184 cm	64 kg	29 jaar	84	64	67	88	78	53	56	74	80	51
Filippo Zana	Soudal Quick-Step	Italy	184 cm	66 kg	26 jaar	84	55	33	88	75	44	42	71	87	41
Damiano Caruso	Bahrain Victorious	Italy	179 cm	67 kg	38 jaar	84	47	20	71	86	53	53	85	40	47
Matej Mohorič	Bahrain Victorious	Slovenia	186 cm	71 kg	31 jaar	84	73	78	89	53	57	45	63	89	37
Anthony Turgis	Team TotalEnergies	France	178 cm	70 kg	31 jaar	84	72	69	76	29	89	28	39	88	27
Mikkel Bjerg	UAE Team Emirates-XRG	Denmark	191 cm	78 kg	27 jaar	84	84	89	58	43	54	88	47	87	89
Joshua Tarling	INEOS Grenadiers	Great Britain	194 cm	78 kg	22 jaar	84	89	71	48	43	49	94	41	85	93
Clément Champoussin	XDS Astana Team	France	180 cm	61 kg	27 jaar	84	60	20	90	69	49	33	70	89	28
Markus Hoelgaard	Uno-X Mobility	Norway	188 cm	74 kg	31 jaar	83	74	90	85	32	47	20	42	90	20
Quinten Hermans	Pinarello-Q36.5 Pro Cycling Team	Belgium	174 cm	62 kg	30 jaar	83	70	81	90	49	49	25	45	90	25
Yevgeniy Fedorov	XDS Astana Team	Kazakhstan	193 cm	80 kg	26 jaar	83	77	86	61	29	81	65	34	87	70
Tibor Del Grosso	Alpecin-Premier Tech	Netherlands	190 cm	70 kg	22 jaar	83	76	87	75	35	77	25	52	83	20
Oliver Naesen	Decathlon CMA CGM Team	Belgium	184 cm	74 kg	35 jaar	83	72	89	62	37	75	27	50	85	27
Maxim Van Gils	Red Bull-BORA-hansgrohe	Belgium	174 cm	63 kg	26 jaar	83	71	20	91	56	63	45	52	92	29
Luke Plapp	Team Jayco-AlUla	Australia	181 cm	72 kg	25 jaar	83	72	20	81	64	36	89	59	80	90
Alexis Renard	Cofidis	France	186 cm	74 kg	26 jaar	83	81	73	56	26	90	35	36	90	35
Pierre Gautherat	Decathlon CMA CGM Team	France	177 cm	70 kg	23 jaar	83	75	84	74	30	81	23	37	89	20
Felix Großschartner	UAE Team Emirates-XRG	Austria	184 cm	64 kg	32 jaar	83	63	20	82	83	44	76	71	77	62
Danny van Poppel	Red Bull-BORA-hansgrohe	Netherlands	184 cm	82 kg	32 jaar	83	82	61	65	29	92	29	48	88	29
Pablo Castrillo	Movistar Team	Spain	183 cm	74 kg	25 jaar	83	56	20	73	86	37	74	70	50	63
Clément Berthet	Groupama-FDJ United	France	184 cm	68 kg	28 jaar	82	59	47	87	74	46	42	70	83	40
Dylan Groenewegen	Unibet Rose Rockets	Netherlands	177 cm	70 kg	32 jaar	82	89	47	58	26	95	20	38	90	20
Iván Romeo	Movistar Team	Spain	193 cm	75 kg	22 jaar	82	72	31	73	63	41	88	64	71	86
Milan Fretin	Cofidis	Belgium	182 cm	70 kg	24 jaar	82	80	56	58	28	92	20	33	90	20
Wout Poels	Unibet Rose Rockets	Netherlands	186 cm	66 kg	38 jaar	82	37	20	68	87	35	28	73	50	28
Hugo Hofstetter	NSN Cycling Team	France	170 cm	66 kg	32 jaar	82	75	81	60	24	86	20	30	89	20
Ethan Vernon	NSN Cycling Team	Great Britain	188 cm	74 kg	25 jaar	82	76	36	56	40	90	64	38	71	41
Fabio Christen	Pinarello-Q36.5 Pro Cycling Team	Switzerland	184 cm	0 kg	23 jaar	82	69	67	85	38	77	27	44	90	26
Magnus Cort	Uno-X Mobility	Denmark	184 cm	68 kg	33 jaar	82	66	65	88	53	67	46	55	90	34
Milan Menten	Lotto-Intermarché	Belgium	174 cm	68 kg	29 jaar	82	78	75	70	32	85	24	43	88	20
Vincenzo Albanese	EF Education-EasyPost	Italy	175 cm	70 kg	29 jaar	82	69	78	83	36	76	30	44	89	31
Jenno Berckmoes	Lotto-Intermarché	Belgium	177 cm	61 kg	25 jaar	82	71	80	84	40	70	31	53	88	30
Simone Velasco	XDS Astana Team	Italy	170 cm	59 kg	30 jaar	82	68	33	91	60	58	39	58	92	37
Max Schachmann	Soudal Quick-Step	Germany	183 cm	71 kg	32 jaar	82	68	32	75	59	46	87	73	64	82
Daan Hoole	Decathlon CMA CGM Team	Netherlands	198 cm	84 kg	26 jaar	81	79	78	49	34	51	90	41	74	89
David Gaudu	Groupama-FDJ United	France	172 cm	53 kg	29 jaar	81	49	20	82	79	41	43	78	67	38
Alex Baudin	EF Education-EasyPost	France	183 cm	64 kg	24 jaar	81	56	20	89	61	40	35	62	85	28
Edoardo Zambanini	Bahrain Victorious	Italy	181 cm	62 kg	24 jaar	81	54	20	88	64	60	34	65	88	25
Valentin Paret-Peintre	Soudal Quick-Step	France	178 cm	52 kg	25 jaar	81	37	20	69	88	35	26	63	56	21
Paul Lapeira	Decathlon CMA CGM Team	France	176 cm	64 kg	25 jaar	81	63	20	89	47	64	39	50	90	23
Luke Lamperti	EF Education-EasyPost	United States	180 cm	74 kg	23 jaar	81	75	72	62	27	86	31	38	86	20
Dries De Bondt	Team Jayco-AlUla	Belgium	184 cm	73 kg	34 jaar	81	75	89	62	28	65	20	47	85	20
Ion Izagirre	Cofidis	Spain	173 cm	60 kg	37 jaar	81	63	31	90	56	46	50	59	90	37
Lewis Askey	NSN Cycling Team	Great Britain	187 cm	75 kg	24 jaar	81	73	82	74	32	78	25	47	88	26
Bryan Coquard	Cofidis	France	171 cm	59 kg	33 jaar	81	74	48	69	35	91	26	40	83	26
Junior Lecerf	Soudal Quick-Step	Belgium	169 cm	54 kg	23 jaar	81	45	20	70	80	48	36	83	51	20
Axel Laurance	INEOS Grenadiers	France	179 cm	63 kg	24 jaar	81	65	53	88	52	78	27	52	84	26
Mikkel Frølich Honoré	EF Education-EasyPost	Denmark	185 cm	68 kg	29 jaar	81	62	73	87	59	55	33	58	88	23
Davide Piganzoli	Team Visma | Lease a Bike	Italy	174 cm	61 kg	23 jaar	81	54	20	84	71	43	47	76	82	33
Lukas Kubis	Unibet Rose Rockets	Slovakia	175 cm	70 kg	26 jaar	81	77	76	68	34	83	49	53	90	44
Wilco Kelderman	Team Visma | Lease a Bike	Netherlands	185 cm	65 kg	34 jaar	81	50	20	79	83	42	53	74	60	36
Nicolas Prodhomme	Decathlon CMA CGM Team	France	174 cm	63 kg	29 jaar	81	51	44	82	81	45	34	73	80	31
Tom Van Asbroeck	NSN Cycling Team	Belgium	182 cm	72 kg	35 jaar	80	76	82	64	25	79	20	33	87	20
Rory Townsend	Unibet Rose Rockets	Ireland	184 cm	73 kg	30 jaar	80	73	52	54	22	90	33	36	90	32
Attila Valter	Bahrain Victorious	Hungary	185 cm	65 kg	27 jaar	80	53	41	86	68	42	50	63	85	51
Kevin Vermaerke	UAE Team Emirates-XRG	United States	181 cm	67 kg	25 jaar	80	51	34	85	70	51	25	65	83	24
Cees Bol	Decathlon CMA CGM Team	Netherlands	194 cm	83 kg	30 jaar	80	70	79	63	26	84	33	40	85	26
Ben Turner	INEOS Grenadiers	Great Britain	194 cm	74 kg	26 jaar	80	70	70	65	46	84	63	49	68	39
Phil Bauhaus	Bahrain Victorious	Germany	184 cm	75 kg	31 jaar	80	84	61	52	23	92	20	34	78	20
Sergio Higuita	XDS Astana Team	Colombia	166 cm	57 kg	28 jaar	80	45	20	81	76	43	28	79	70	25
Max Poole	Team Picnic PostNL	Great Britain	185 cm	0 kg	22 jaar	80	48	20	65	82	39	62	76	20	47
Matteo Moschetti	Pinarello-Q36.5 Pro Cycling Team	Italy	180 cm	73 kg	29 jaar	80	76	60	50	26	90	20	31	87	20
Axel Zingle	Team Visma | Lease a Bike	France	173 cm	67 kg	27 jaar	80	69	52	78	34	86	31	49	84	28
Sandy Dujardin	Team TotalEnergies	France	178 cm	0 kg	28 jaar	80	73	68	82	33	75	20	35	90	20
Roger Adrià	Movistar Team	Spain	179 cm	64 kg	27 jaar	80	58	61	89	55	53	32	46	90	30
Raúl García Pierna	Movistar Team	Spain	175 cm	67 kg	24 jaar	80	61	20	76	73	38	81	63	69	76
Paul Penhoët	Groupama-FDJ United	France	173 cm	64 kg	24 jaar	80	75	43	68	31	91	20	46	85	20
Orluis Aular	Movistar Team	Venezuela	176 cm	65 kg	29 jaar	80	67	55	79	44	85	29	48	74	20
Andreas Leknessund	Uno-X Mobility	Norway	186 cm	72 kg	26 jaar	80	63	20	78	56	40	83	60	81	86
Thibau Nys	Lidl-Trek	Belgium	176 cm	64 kg	23 jaar	80	59	26	90	60	47	34	46	90	20
Stanislaw Aniolkowski	Cofidis	Poland	181 cm	68 kg	29 jaar	79	73	56	52	29	91	20	44	78	20
Jonas Rutsch	Lotto-Intermarché	Germany	197 cm	82 kg	28 jaar	79	66	88	64	31	55	30	41	83	29
Carlos Canal	Movistar Team	Spain	179 cm	70 kg	24 jaar	79	62	66	84	41	62	31	52	86	26
Andrea Vendrame	Team Jayco-AlUla	Italy	168 cm	60 kg	31 jaar	79	60	48	87	60	65	32	48	83	26
Andrea Bagioli	Lidl-Trek	Italy	176 cm	60 kg	26 jaar	79	64	20	90	56	46	31	45	91	28
Pascal Ackermann	Team Jayco-AlUla	Germany	180 cm	78 kg	32 jaar	79	73	60	51	28	91	20	37	75	20
Edward Dunbar	Pinarello-Q36.5 Pro Cycling Team	Ireland	170 cm	57 kg	29 jaar	79	54	20	80	77	40	61	76	49	51
Max Kanter	XDS Astana Team	Germany	176 cm	68 kg	28 jaar	79	80	43	59	25	91	20	35	89	20
Max Walscheid	Lidl-Trek	Germany	199 cm	91 kg	32 jaar	79	72	72	46	24	82	66	34	77	55
Tim Torn Teutenberg	Lidl-Trek	Germany	183 cm	0 kg	23 jaar	79	69	46	58	30	89	43	34	74	39
Arne Marit	Red Bull-BORA-hansgrohe	Belgium	185 cm	72 kg	27 jaar	79	71	56	56	27	90	20	37	84	20
Xandro Meurisse	Pinarello-Q36.5 Pro Cycling Team	Belgium	181 cm	68 kg	34 jaar	79	59	63	86	51	51	36	58	86	36
Bastien Tronchon	Groupama-FDJ United	France	185 cm	72 kg	23 jaar	79	58	46	86	40	73	27	50	84	25
Joe Blackmore	NSN Cycling Team	Great Britain	181 cm	66 kg	22 jaar	79	57	63	88	54	51	35	57	82	20
Clément Venturini	Unibet Rose Rockets	France	165 cm	60 kg	32 jaar	78	67	23	83	40	77	23	47	90	20
Victor Campenaerts	Team Visma | Lease a Bike	Belgium	173 cm	68 kg	34 jaar	78	66	51	78	63	47	82	50	63	82
Yves Lampaert	Soudal Quick-Step	Belgium	180 cm	75 kg	34 jaar	78	76	82	59	30	66	60	48	80	34
Arjen Livyns	XDS Astana Team	Belgium	170 cm	58 kg	31 jaar	78	66	84	71	34	55	31	38	85	20
Lorenzo Milesi	Movistar Team	Italy	180 cm	70 kg	23 jaar	78	67	53	67	38	67	79	40	76	68
Jenthe Biermans	Cofidis	Belgium	184 cm	78 kg	30 jaar	78	69	71	71	33	80	20	33	87	20
Matteo Sobrero	Lidl-Trek	Italy	177 cm	63 kg	28 jaar	78	62	20	67	54	51	79	67	63	75
Sam Watson	INEOS Grenadiers	Great Britain	188 cm	68 kg	24 jaar	78	78	72	68	36	79	50	56	80	42
Casper Pedersen	Soudal Quick-Step	Denmark	186 cm	71 kg	29 jaar	78	68	88	57	25	53	38	38	82	29
Timo Kielich	Team Visma | Lease a Bike	Belgium	185 cm	73 kg	26 jaar	78	72	83	63	33	69	20	37	85	20
Mattia Cattaneo	Red Bull-BORA-hansgrohe	Italy	184 cm	67 kg	35 jaar	78	70	42	61	55	44	89	59	67	88
Marius Mayrhofer	Tudor Pro Cycling Team	Germany	182 cm	70 kg	25 jaar	78	65	72	77	33	78	29	41	84	27
Ethan Hayter	Soudal Quick-Step	Great Britain	180 cm	70 kg	27 jaar	78	75	26	51	42	52	90	54	56	81
Sebastián Molano	UAE Team Emirates-XRG	Colombia	180 cm	72 kg	31 jaar	78	87	37	58	23	91	20	31	85	20
Jake Stewart	NSN Cycling Team	Great Britain	179 cm	66 kg	26 jaar	77	63	52	66	30	86	25	42	63	25
Quinn Simmons	Lidl-Trek	United States	185 cm	73 kg	24 jaar	77	61	20	91	41	42	35	44	90	25
Torstein Træen	Uno-X Mobility	Norway	181 cm	63 kg	30 jaar	77	36	20	58	82	37	31	78	48	27
Louis Barré	Team Visma | Lease a Bike	France	184 cm	68 kg	25 jaar	77	63	32	90	40	43	28	47	90	25
Marco Frigo	NSN Cycling Team	Italy	188 cm	70 kg	25 jaar	77	53	20	68	73	32	71	61	52	57
Mick van Dijke	Red Bull-BORA-hansgrohe	Netherlands	190 cm	74 kg	25 jaar	77	67	85	57	37	62	42	39	78	33
Warren Barguil	Team Picnic PostNL	France	183 cm	61 kg	34 jaar	77	50	20	81	72	43	34	67	76	32
Stian Fredheim	Uno-X Mobility	Norway	184 cm	72 kg	22 jaar	77	66	51	57	23	87	20	34	83	20
Brent Van Moer	Pinarello-Q36.5 Pro Cycling Team	Belgium	191 cm	79 kg	28 jaar	77	70	83	63	35	59	41	45	87	38
Harold Martin López	XDS Astana Team	Ecuador	160 cm	55 kg	25 jaar	77	31	20	62	79	37	20	75	46	20
Marco Haller	Tudor Pro Cycling Team	Austria	178 cm	72 kg	34 jaar	77	66	81	70	36	61	30	46	82	31
Kasper Asgreen	EF Education-EasyPost	Denmark	193 cm	75 kg	31 jaar	77	73	63	64	34	63	85	45	71	87
Fredrik Dversnes	Uno-X Mobility	Norway		0 kg	28 jaar	77	64	60	85	36	51	43	49	87	37
Giovanni Lonardi	Team Polti VisitMalta	Italy	180 cm	70 kg	29 jaar	77	72	20	59	27	91	20	40	79	20
Gerben Thijssen	Alpecin-Premier Tech	Belgium	174 cm	74 kg	27 jaar	77	77	33	55	25	91	20	31	88	20
Finn Fisher-Black	Red Bull-BORA-hansgrohe	New Zealand	189 cm	69 kg	24 jaar	77	61	20	75	58	66	69	66	61	58
Daniel Felipe Martínez	Red Bull-BORA-hansgrohe	Colombia	172 cm	63 kg	29 jaar	77	53	20	70	78	42	69	77	67	63
Javier Romo	Movistar Team	Spain	184 cm	70 kg	27 jaar	77	51	20	81	71	42	32	67	67	29
Alberto Dainese	Soudal Quick-Step	Italy	175 cm	72 kg	27 jaar	77	74	45	54	25	91	27	38	76	27
Johannes Kulset	Uno-X Mobility	Norway	175 cm	58 kg	21 jaar	77	51	20	84	61	42	28	57	85	27
Laurens De Plus	INEOS Grenadiers	Belgium	189 cm	67 kg	30 jaar	77	43	31	62	77	42	53	79	52	47
Dylan Teuns	Cofidis	Belgium	181 cm	64 kg	33 jaar	76	58	68	82	55	43	36	52	84	31
Paul Seixas	Decathlon CMA CGM Team	France	186 cm	64 kg	19 jaar	76	59	20	78	68	38	67	56	84	67
Alexandre Delettre	Team TotalEnergies	France	170 cm	62 kg	28 jaar	76	59	33	85	36	51	20	53	87	20
Jan Tratnik	Red Bull-BORA-hansgrohe	Slovenia	173 cm	67 kg	35 jaar	76	62	76	71	61	36	64	47	84	53
Maikel Zijlaard	Tudor Pro Cycling Team	Netherlands	189 cm	73 kg	26 jaar	76	69	44	40	28	86	50	30	53	25
Tobias Foss	INEOS Grenadiers	Norway	184 cm	74 kg	28 jaar	76	67	38	59	61	38	86	57	65	86
Sam Bennett	Pinarello-Q36.5 Pro Cycling Team	Ireland	178 cm	73 kg	35 jaar	76	65	34	50	26	90	31	43	42	20
Nils Eekhoff	Team Picnic PostNL	Netherlands	192 cm	75 kg	28 jaar	76	72	71	51	24	80	37	34	85	25
Erlend Blikra	Uno-X Mobility	Norway	186 cm	75 kg	29 jaar	76	75	34	57	22	89	20	26	83	20
Benoît Cosnefroy	UAE Team Emirates-XRG	France	179 cm	65 kg	30 jaar	76	64	46	85	37	48	20	49	89	20
Davide Formolo	Movistar Team	Italy	182 cm	62 kg	33 jaar	76	51	51	85	59	42	26	47	85	26
Aimé De Gendt	Pinarello-Q36.5 Pro Cycling Team	Belgium	182 cm	75 kg	31 jaar	76	66	85	57	27	53	41	40	81	43
Matteo Malucelli	XDS Astana Team	Italy	171 cm	68 kg	32 jaar	76	71	25	46	26	91	28	45	61	20
Edoardo Affini	Team Visma | Lease a Bike	Italy	190 cm	80 kg	29 jaar	76	78	48	41	27	52	91	40	64	91
Rick Pluimers	Tudor Pro Cycling Team	Netherlands	180 cm	67 kg	25 jaar	76	63	73	73	31	75	20	40	87	20
Chris Harper	Pinarello-Q36.5 Pro Cycling Team	Australia	185 cm	67 kg	31 jaar	75	44	20	70	78	40	39	68	61	38
Anthon Charmig	Uno-X Mobility	Denmark	182 cm	66 kg	27 jaar	75	49	20	84	45	50	26	56	83	24
Thomas Silva	XDS Astana Team	Uruguay	175 cm	64 kg	24 jaar	75	55	20	80	54	65	20	52	83	20
Georg Zimmermann	Lotto-Intermarché	Germany	181 cm	70 kg	28 jaar	75	55	37	83	52	51	31	58	83	31
Tim van Dijke	Red Bull-BORA-hansgrohe	Netherlands	189 cm	74 kg	25 jaar	75	68	79	59	32	74	48	37	74	40
Frank van den Broek	Team Picnic PostNL	Netherlands	178 cm	70 kg	25 jaar	75	50	35	82	64	53	38	56	67	29
Filippo Baroncini	UAE Team Emirates-XRG	Italy	188 cm	74 kg	25 jaar	75	67	49	75	38	59	72	49	79	60
Bauke Mollema	Lidl-Trek	Netherlands	184 cm	64 kg	39 jaar	75	56	39	86	40	38	44	46	86	41
Enrico Zanoncello	Bardiani CSF 7 Saber	Italy	170 cm	64 kg	28 jaar	75	63	25	51	35	89	20	41	58	20
Riley Sheehan	NSN Cycling Team	United States	183 cm	69 kg	25 jaar	75	63	70	77	31	61	25	51	87	23
Dylan van Baarle	Soudal Quick-Step	Netherlands	189 cm	74 kg	33 jaar	75	67	84	62	37	35	47	40	77	44
Mauri Vansevenant	Soudal Quick-Step	Belgium	175 cm	60 kg	26 jaar	75	49	31	83	61	45	25	53	82	20
Casper van Uden	Team Picnic PostNL	Netherlands	181 cm	0 kg	24 jaar	75	69	41	48	28	90	24	38	69	20
John Degenkolb	Team Picnic PostNL	Germany	180 cm	82 kg	37 jaar	74	64	81	55	24	63	24	35	78	20
Natnael Tesfazion	Movistar Team	Eritrea	175 cm	60 kg	26 jaar	74	55	20	81	40	62	20	50	85	20
Rasmus Søjberg Pedersen	Decathlon CMA CGM Team	Denmark	182 cm	74 kg	23 jaar	74	64	67	51	25	80	41	31	77	42
Mathys Rondel	Tudor Pro Cycling Team	France	180 cm	0 kg	22 jaar	74	48	20	79	63	36	37	65	77	34
Steffen De Schuyteneer	Lotto-Intermarché	Belgium	184 cm	74 kg	20 jaar	74	68	56	49	24	84	39	43	73	37
Quentin Pacher	Groupama-FDJ United	France	179 cm	62 kg	34 jaar	74	50	31	81	62	47	44	56	73	43
Hugo Page	Cofidis	France	185 cm	71 kg	24 jaar	74	62	55	57	29	82	33	40	80	31
Lionel Taminiaux	Lotto-Intermarché	Belgium	173 cm	74 kg	29 jaar	74	68	65	53	24	80	20	32	78	20
Amaury Capiot	Team Jayco-AlUla	Belgium	186 cm	69 kg	32 jaar	74	67	55	54	29	84	27	40	76	27
Jon Barrenetxea	Movistar Team	Spain	188 cm	74 kg	25 jaar	74	55	45	81	42	64	20	40	87	20
Alexey Lutsenko	NSN Cycling Team	Kazakhstan	174 cm	74 kg	33 jaar	74	53	29	79	59	45	58	53	75	48
Nelson Oliveira	Movistar Team	Portugal	180 cm	67 kg	36 jaar	74	66	20	59	48	48	87	47	64	87
Clément Russo	Groupama-FDJ United	France	187 cm	74 kg	31 jaar	74	68	72	55	34	80	38	40	74	36
Sam Welsford	INEOS Grenadiers	Australia	182 cm	79 kg	30 jaar	74	72	41	46	23	90	27	35	72	20
Ivo Oliveira	UAE Team Emirates-XRG	Portugal	185 cm	68 kg	29 jaar	74	66	32	60	34	64	66	39	59	45
Aaron Gate	XDS Astana Team	New Zealand	181 cm	71 kg	35 jaar	73	64	51	69	39	77	44	54	74	36
Arvid de Kleijn	Tudor Pro Cycling Team	Netherlands	171 cm	68 kg	31 jaar	73	71	20	46	25	91	20	31	73	20
Fernando Gaviria	Caja Rural-Seguros RGA	Colombia	181 cm	71 kg	31 jaar	73	66	25	45	25	90	20	32	55	20
Edward Theuns	Lidl-Trek	Belgium	183 cm	72 kg	34 jaar	73	70	66	48	24	79	28	38	78	27
Rui Oliveira	UAE Team Emirates-XRG	Portugal	183 cm	66 kg	29 jaar	73	59	57	63	26	79	20	34	74	20
Pau Miquel Delgado	Bahrain Victorious	Spain	180 cm	65 kg	25 jaar	73	56	34	79	46	64	23	35	86	20
Michael Valgren	EF Education-EasyPost	Denmark	179 cm	71 kg	34 jaar	73	58	75	78	47	49	30	41	76	29
Archie Ryan	EF Education-EasyPost	Ireland	172 cm	56 kg	24 jaar	73	43	20	80	69	32	26	50	75	20
Oded Kogut	NSN Cycling Team	Israel	171 cm	77 kg	25 jaar	73	60	44	41	22	89	23	29	70	20
Stephen Williams	NSN Cycling Team	Great Britain	183 cm	59 kg	29 jaar	72	39	20	82	49	46	25	53	73	21
Matyáš Kopecký	Unibet Rose Rockets	Czech Republic		0 kg	23 jaar	72	64	56	62	26	77	23	42	75	20
Lorenzo Rota	Lotto-Intermarché	Italy	173 cm	62 kg	30 jaar	72	55	20	82	34	50	23	42	84	23
Jakob Söderqvist	Lidl-Trek	Sweden	187 cm	83 kg	22 jaar	72	68	39	49	34	38	81	48	60	71
Mathieu Burgaudeau	Team TotalEnergies	France	168 cm	61 kg	27 jaar	72	54	33	82	51	44	40	49	77	41
Jack Haig	INEOS Grenadiers	Australia	190 cm	67 kg	32 jaar	72	44	20	69	73	43	47	66	46	45
Gianmarco Garofoli	Soudal Quick-Step	Italy	180 cm	62 kg	23 jaar	72	51	37	76	65	59	44	45	74	41
Anders Halland Johannessen	Uno-X Mobility	Norway	176 cm	0 kg	26 jaar	72	44	41	79	58	34	24	56	69	20
Rudy Molard	Groupama-FDJ United	France	178 cm	62 kg	36 jaar	72	41	20	78	59	38	20	59	77	20
Gregor Mühlberger	Decathlon CMA CGM Team	Austria	180 cm	64 kg	31 jaar	72	42	31	71	73	36	28	70	64	26
Ewen Costiou	Groupama-FDJ United	France	176 cm	64 kg	23 jaar	72	55	20	77	57	42	49	62	72	35
Matis Louvel	NSN Cycling Team	France	187 cm	77 kg	26 jaar	72	60	71	65	31	72	23	40	81	23
Victor Langellotti	INEOS Grenadiers	Monaco	177 cm	64 kg	30 jaar	71	41	20	73	64	47	32	62	51	20
Remi Cavagna	Groupama-FDJ United	France	186 cm	78 kg	30 jaar	71	66	42	54	28	39	85	43	63	81
Afonso Eulalio	Bahrain Victorious	Portugal	174 cm	62 kg	24 jaar	71	44	46	79	57	34	24	49	72	23
Julien Bernard	Lidl-Trek	France	176 cm	60 kg	33 jaar	71	47	20	76	67	41	30	54	73	29
Francesco Busatto	Alpecin-Premier Tech	Italy	172 cm	62 kg	23 jaar	71	53	34	81	32	48	20	39	84	20
Piet Allegaert	Cofidis	Belgium	181 cm	70 kg	31 jaar	71	65	75	47	23	72	20	32	80	20
Thibaud Gruel	Groupama-FDJ United	France	180 cm	70 kg	21 jaar	71	66	27	68	41	72	42	49	77	35
Paul Double	Team Jayco-AlUla	Great Britain	171 cm	56 kg	29 jaar	71	36	20	69	60	35	20	73	50	20
Steff Cras	Soudal Quick-Step	Belgium	183 cm	67 kg	30 jaar	71	47	20	73	64	44	46	68	57	45
Jensen Plowright	Alpecin-Premier Tech	Australia	176 cm	80 kg	25 jaar	71	60	26	47	25	84	20	33	68	20
Alex Kirsch	Cofidis	Luxembourg	194 cm	78 kg	33 jaar	71	63	77	52	29	60	55	41	76	48
Jason Tesson	Team TotalEnergies	France	166 cm	59 kg	28 jaar	71	62	26	45	24	87	20	28	76	20
Patrick Konrad	Lidl-Trek	Austria	181 cm	64 kg	34 jaar	71	47	20	77	57	50	33	58	73	24
